commonName,scientificName,alpha,aou,neoStat,nestLoc1,nestLoc2,nestType1,nestType2,foodType1,foodType2,foragingSubstrate1,foragingSubstrate2,foragingTechnique1,foragingTechnique2,habitat1,habitat2,notes
 Gull-billed Tern,Sterna nilotica,GBTE,630,R,Ground, Floating,Scrape,,Insects, Aquatic Inverts,Air, Ground,Hawker, Hover & Pounce,Shoreline, Pelagic,NA
 Least Tern,Sterna antillarum,LETE,740,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,High Dives, Skimmer,Coastal, Freshwater,NA
 Roseate Tern,Sterna dougallii,ROST,720,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,High Dives,,Coastal, Freshwater,NA
 Royal Tern,Sterna maxima,ROYT,650,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,High Dives, Skimmer,Coastal,,NA
 Sandwich Tern,Sterna sandvicensis,SATE,670,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,High Dives, Skimmer,Coastal,,NA
 Sooty Tern,Sterna fuscata,SOTE,750,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,Hover & Pick,,Coastal, Freshwater,NA
 Bendires Thrasher,Toxostoma bendirei,BETH,7080,B,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland,,NA
 Brown Thrasher,Toxostoma rufum,BRTH,7050,R,Shrub, Woody Lower Canopy,Cup,,Insects, Small Verts,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Forest Edge,NA
 California Thrasher,Toxostoma redivivum,CATH,7100,R,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Ground, Foliage,Digging, Foliage Gleaner,Shrubland, Riparian,NA
 Crissal Thrasher,Toxostoma dorsale,CRTH,7120,R,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Ground,,Digging,,Shrubland, Riparian,NA
 Curve-billed Thrasher,Toxostoma curvirostre,CBTH,7070,R,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland,,NA
 Le Contes Thrasher,Toxostoma lecontei,LCTH,7110,R,Shrub, Woody Lower Canopy,Cup,,Insects, Small Verts,Ground, Foliage,Digging, Foliage Gleaner,Shrubland,,NA
 Long-billed Thrasher,Toxostoma longirostre,LBTH,7060,R,Shrub, Woody Lower Canopy,Cup,,Insects, Small Verts,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Riparian,NA
