sortID,common,spp,sex,N,meanMass,sDev,minMass,maxMass,season,location,citationNumber, 
10374,,,,,,,,,,,,
10375,Striated Heron,Butorides striata carcinophila,B,11,184,,145,220,,Philippines,"437, 983",
10376,,,,,,,,,,,,
10377,Green Heron,Butorides virescens,U,34,212,5.9,,,,"Florida, USA",489,
10378,,,,,,,,,,,,
10379,Green Heron,Butorides virescens,B,70,187,17.3,138,220,,Caribbean islands,19,
10380,,,,,,,,,,,,
10381,Agami Heron,Agamia agami,B,8,567,,,,,Panama; Venezuela; Suriname,"489, 498, 1308",
10382,,, , , ,,,,,,,
10383,Black-crowned Night-Heron,Nycticorax nycticorax,B,10,810,,615,1014, ,Northeast USA; Suriname,"498, 894",
10384,,,,,,,,,,,,
10385,Rufous Night-Heron,Nycticorax caledonicus,M,4,856,,750,1014, ,,"658, 786, 1017",
10386,,,,,,,,,,,,
10387,Yellow-crowned Night-Heron,Nyctanassa violacea,M,8,716,,,,,"Florida, USA",488,
10388,,Nyctanassa violacea,F,7,649,,,,,,,
10389,Japanese Night-Heron,Gorsachius goisagi,M,1,527,,,,,Philippines ,954,
10390,,,,,,,,,,,,
10391,Malayan Night-Heron,Gorsachius melanolophus,B,5,, ,377,451,F,,1287,
10392,,,,,,,,,,,,
10393,Boat-billed Heron,Cochlearius cochlearius,M,11,693,,577,770,,Mexico; Central America,"295, 498, 1151",
10394,,Cochlearius cochlearius,F,7,597,,503,726,,Suriname,,
10395,Bare-faced Tiger-Heron,Tigrisoma mexicanum,M,3,1274,,,,,Panama,489,
10396,,Tigrisoma mexicanum,F,4,1046,,,,, , ,
10397,Fasciated Tiger-Heron,Tigrisoma fasciatum,U,,850,,,,,Costa Rica,1170,
10398,,,,,,,,,,,,
10399,Rufescent Tiger-Heron,Tigrisoma lineatum,B,8,813,,630,980,,Suriname,498,
10400,,, , , ,, , ,,,,
10401,Zigzag Heron,Zebrilus undulatus,F,1,123,,,,,Peru,988,
10402,,,,,,,,,,,,
10403,Stripe-backed Bittern,Ixobrychus involucris,U,12,80.1,,69,104,,Brazil; Peru; Argentina,"63, 211, 370, 498",
10404,,,,,,,,,,Suriname,,
10405,Least Bittern,Ixobrychus exilis,U,20,86.3,4.3,,,,,489,
10406,,,,,,,,,,,,
10407,Yellow Bittern,Ixobrychus sinensis,B,28,94.3,,63,120,,"Hopei, China",1087,
10408,,, , , ,, , ,,,,
10409,Little Bittern,Ixobrychus minutus dubius,U,15,83.9,16.9,59,120,,Australia,745,
10410,, ,,,,,,,,,,
10411,Little Bittern,Ixobrychus minutus,B,32,118,,67,144,B,South Africa,1036,
10412,,,,,,,,,,,,
10413,Schrenck's Bittern,Ixobrychus eurhythmus,M,12,139,,120,158,,"Hopei, China",1087,
10414,,Ixobrychus eurhythmus,F,5,,,141,150,,,,
10415,Cinnamon Bittern,Ixobrychus cinnamomeus,M,4,128,,106,148,,Philippines; China,"437, 954, 1087",
10416,,Ixobrychus cinnamomeus,F,1,125,,,,,,,
10417,Dwarf Bittern,Ixobrychus sturmii,B,2,140,,130,150,,Angola,266,
10418,,,,,,,,,,,,
10419,Black Bittern,Ixobrychus flavicollis,B,8,321,,275,358,,,"658, 812, 954",
10420,,,,,,,,,,,,
10421,Pinnated Bittern,Botaurus pinnatus,M,4,1047,,875,1157,,Mexico; Suriname,"498, 1145",
10422,,Botaurus pinnatus,F,2,630,,554,705,,,,
10423,American Bittern,Botaurus lentiginosus,U,16,706,183,520,1072,B,"Ontario, Canada ",1147a,
10424,,,,,,,,,,,,
10425,Great Bittern,Botaurus stellaris,M,11,1209,,950,1730, ,"Hopei, China",1087,
10426,,Botaurus stellaris,F,2,1440,,1230,1650,,,,
10427,Australasian Bittern,Botaurus poiciloptilus,M,15,1353,308,875,2085,,Australia; New Zealand,745,
10428,,Botaurus poiciloptilus,F,10,868,221,571,1135,,,,
10429,,,,,,,,,,,,
10431,Hamerkop,Scopus umbretta,U,10,472,,420,534,,South Africa,1036,
10432,,,,,,,,,,,,
10433,,,,,,,,,,,,
10435,Wood Stork,Mycteria americana,M,9,2702,,,,,,"489, 498",
10436,,Mycteria americana,F,2,2415,,2050,2780,,,,
10437,Yellow-billed Stork,Mycteria ibis,M,1,2384,,,,,,"473, 1085a",
10438,,Mycteria ibis,F,6,1949,,1190,2330,,, ,
10439,Painted Stork,Mycteria leucocephala,B,10,3180,,3030,3370,,,473,
10440,,,,,,,,,,,,
10441,African Openbill,Anastomus lamelligerus,U,11,1081,,628,1400,,,"133, 1156",
10442,,,,,,,,,,,,
10443,Black Stork,Ciconia nigra,U,13,2926,,,,,,473,
10444,,,,,,,,,,,,
10445,Abdim's Stork,Ciconia abdimii,B,10,1398,117,1160,1570,,captive,800,
10446,,,,,,,,,,,,
10447,Wooly-necked Stork,Ciconia episcopus,B,8,2061,,1590,2790,, ,473,
10448,,,,,,,,,,,,
10449,Maguari Stork,Ciconia maguari,M,9,4200,,,,,,473,
10450,,Ciconia maguari,F,5,3800,,,,,,,
10451,White Stork,Ciconia ciconia,M,41,3571,,2610,4400,PB,Germany,223,
10452,,Ciconia ciconia,F,27,3325,,2275,3900,,,,
10453,Oriental Stork,Ciconia boyciana,M,7,5014,,4200,5900,,captive,"644, 828a",
10454,,Ciconia boyciana,F,8,4687,,3400,5200,,,,
10455,Black-necked Stork,Ephippiorhynchus asiaticus,U, ,4100,,,,,,133,
10456,,,,,,,,,,,,
10457,Saddle-billed Stork,Ephippiorhynchus senegalensis,M,5,6378,,5085,7524,,,"473, 1156",
10458,,Ephippiorhynchus senegalensis,F,3,5947,,5000,6840,,,,
10459,Jabiru,Jabiru mycteria,M,8,6892,,5902,8100,,,"473, 1085a",
10460,,Jabiru mycteria,F,4,5217,,4300,6356,,,,
10461,Lesser Adjutant,Leptoptilos javanicus,B,7,4651,,4000,5230,, ,"473, 1085a, 1287",
10462,,, , , ,, , ,,,,
10463,Marabou Stork,Leptoptilos crumeniferus,M,37,,,5600,8900,,,473,
10464,,Leptoptilos crumeniferus,F,22,,,4000,6800,,,,
10465,,,,,,,,,,,,
10467,Shoebill,Balaeniceps rex,M,1,6700,,,,,,473,
10468,,Balaeniceps rex,F,4,5268,,4360,5900,,,,
10469,,,,,,,,,,,,
10471,Sacred Ibis,Threskiornis aethiopicus,M,40,1618,140,1268,1963,,"Pretoria, South Africa",713,
10472,,Threskiornis aethiopicus,F,54,1378,126,1131,1718,,,,
10473,Black-headed Ibis,Threskiornis melanocephalus,,,,,,,,,,
10474,,,,,,,,,,,,
10475,Australian Ibis,Threskiornis molucca,M,72,2006,138,1700,2350,,Australia,745,
10476,,Threskiornis molucca,F,84,1606,146,1300,2120,,,,
10477,Straw-necked Ibis,Threskiornis spinicollis,M,3,1465,,1400,1570,,Australia,745,
10478,,Threskiornis spinicollis,F,4,1238,,1150,1320,,,,
10479,White-shouldered Ibis,Pseudibis davisoni,M,1,1588,,,,,,1287,
10480,,,,,,,,,,,,
10481,Giant Ibis,Pseudibis gigantea,M,1,3515,,,,,,1287,
10482,,,,,,,,,,,,
10483,Waldrapp,Geronticus eremita,B,9,1202, ,1000,1350,,captive,"800, 851",
10484,,,,,,,,,,,,
10485,Crested Ibis,Nipponia nippon,U,,1900,,,,,Japan,339,
10486,,,,,,,,,,,,
10487,Hadada Ibis,Bostrychia hagedash,B,5,1238,,993,1512,,,"1156, 1212",
10488,,,,,,,,,,,,
10489,Plumbeous Ibis,Theristicus caerulescens,M,1,1500,,,,,Bolivia,1145,
10490,,,,,,,,,,,,
10491,Buff-necked Ibis,Theristicus caudatus,B,5,1726,,1550,1950,,Brazil; Argentina; Chile,"63, 546, 861b, 1082",
10492,,,,,,,,,,,,
10493,Andean Ibis,Theristicus branickii,M,1,1492,,,,,Peru,1042,
10494,,,,,,,,,,,,
10495,Green Ibis,Mesembrinibis cayennensis,B,7,756,,670,865,,Peru; Suriname,193,
10496,,, , ,,,,,,,,
10497,Bare-faced Ibis,Phimosus infuscatus,B,4,559,,512,600,,Brazil; Argentina,"63, 804",
10498,,,, ,,,,,,,,
10499,White Ibis,Eudocimus albus,M,12,1036,105,873,1261,B,"Florida, USA",663,
10500,,Eudocimus albus,F,16,764,68.4,593,864,,,,
10501,Scarlet Ibis,Eudocimus ruber,M,8,741,,710,770,,Trinidad,359,
10502,,Eudocimus ruber,F,13,588,,505,640,,,,
10503,Glossy Ibis,Plegadis falcinellus,M,,,,557,768,S,former USSR,223,
10504,,Plegadis falcinellus,F,,,,530,680,,,,
10505,White-faced Ibis,Plegadis chihi,M,32,697,58.9,563,807,B,"Utah, USA",314,
10506,,Plegadis chihi,F,35,546,45.3,433,677,,,,
10507,Puna Ibis,Plegadis ridgwayi,M,3,657,,608,734,,Bolivia; Peru,"1042, 1145",
10508,,Plegadis ridgwayi,F,3,511,,478,554,,,,
10509,Eurasian Spoonbill,Platalea leucorodia,B,8,1868,,1656,2080,,,"473, 926",
10510,,,,,,,,,,,,
10511,Royal Spoonbill,Platalea regia,M,6,1886,,1650,2070,,Australia,745,
10512,,Platalea regia,F,4,1575,,1400,1800,,,,
10513,African Spoonbill,Platalea alba,B,5,1521,,1020,1900,,,"508, 800",
10514,,,,,,,,,,,,
10515,Black-faced Spoonbill,Platalea minor,U , ,1228,,,,,Japan,339,
10516,,,,,,,,,,,,
10517,Yellow-billed Spoonbill,Platalea flavipes,M,4,1895,,1750,2000,,,743,
10518,,Platalea flavipes,F,2,1600,,1500,1700,,,,
10519,Roseate Spoonbill,Platalea ajaja,B,30,1490,170,1225,1800,,"Florida, USA",76,
10520,,, ,,,, , ,,,,
10521,,,,,,,,,,,,
10523,Greater Flamingo,Phoenicopterus ruber roseus,M,13,3540,,3100,4100,B,France,50,
10524,,Phoenicopterus ruber roseus,F,12,2530,,2100,3300,,,,
10525,Greater Flamingo,Phoenicopterus ruber,M,4,3493,,3280,3800,,Namibia; South Africa,1036,
10526,,Phoenicopterus ruber,F,4,2700,,2180,3080,,,,
10527,Chilean Flamingo,Phoenicopterus chilensis,B,5,2277,,1790,3200,,,"362, 546, 766, 1042",
10528,,,,,,,,,,,,
10529,Lesser Flamingo,Phoenicopterus minor,F,1,1500,,,,,,1036,
10530,,,,,,,,,,,,
10531,Andean Flamingo,Phoenicopterus andinus,M,1,4900,,,,,Argentina,766,
10532,,,,,,,,,,,,
10533,Puna Flamingo,Phoenicopterus jamesi,U,,2000,,,,,,274,
10534,,,,,,,,,,,,
10535,,,,,,,,,,,,
10537,Horned Screamer,Anhima cornuta,U,,3150,,,,,Brazil,1105,
10538,,,,,,,,,,,,
10539,Northern Screamer,Chauna chavaria,M,1,2117,,,,,captive,1143,
10540,,Chauna chavaria,F,1,3090,,,,,,,
10541,Southern Screamer,Chauna torquata,F,1,4400,,,,,"Brazil, approximate",63,
10542,,,,,,,,,,,,
10543,,,,,,,,,,,,
10545,Magpie Goose,Anseranas semipalmata,M,402,2766,283,1838,3195,,,745,
10546,,Anseranas semipalmata,F,359,2071,237,1405,2770,,,,
10547,Spotted Whistling-Duck,Dendrocygna guttata,F, ,800,,,,,,1012,
10548,,,,,,,,,,,,
10549,Plumed Whistling-Duck,Dendrocygna eytoni,M,63,788,,600,930,,,745,
10550,,Dendrocygna eytoni,F,65,792,,580,1400,,,,
10551,Fulvous Whistling-Duck,Dendrocygna bicolor,M,138,770,70.1,545,958,,SW. Louisiana,529,
10552,,Dendrocygna bicolor,F,148,743,77.2,595,964,,,,
10553,Wandering Whistling-Duck,Dendrocygna arcuata,M,287,866,,741,948,,,745,
10554,,Dendrocygna arcuata,F,293,732,,453,976,,,,
10555,Lesser Whistling-Duck,Dendrocygna javanica,U,,,,450,600,,,7,
10556,,,,,,,,,,,,
10557,White-faced Whistling-Duck,Dendrocygna viduata,U,10,690,35.9,635,760,,South Africa,508,
10558,,,,,,,,,,,,
10559,West Indian Whistling-Duck,Dendrocygna arborea,F,,1150,,,,,,1012,
10560,,,,,,,,,,,,
10561,Black-bellied Whistling-Duck,Dendrocygna autumnalis,M,61,796,68.6,660,950, ,"Texas, USA",571,
10562,,Dendrocygna autumnalis,F,59,760,49.9,655,880,,,,
10563,Black-bellied Whistling-Duck,Dendrocygna autumnalis,M,78,741,,530,890,,Guyana,571,
10564,,Dendrocygna autumnalis,F,82,726,,530,890,,,,
10565,White-backed Duck,Thalassornis leuconotos,B,10, ,,575,840,,Angola,266,
10566,,,,,,,,,,,,
10567,Mute Swan,Cygnus olor,M,59,11800,890,9200,14300,W,Britain,967,
10568,,Cygnus olor,F,35,9670,640,7600,10600,,,,
10569,Black Swan,Cygnus atratus,M,270,6200,,4600,8700,,,1075,
10570,,Cygnus atratus,F,243,5100,,3700,7200,,,,
10571,Black-necked Swan,Cygnus melanocoryphus,M,9,5550,,4500,6754,,,"546, 1075",
10572,,Cygnus melanocoryphus,F,7,4000,,3500,4400,,,,
10573,Trumpeter Swan,Cygnus buccinator,M,152,11900, ,9100,14500,W, ,802,
10574,,Cygnus buccinator,F,120,10300, ,7000,12500,,,,
10575,Whooper Swan,Cygnus cygnus,B,12,9350,,7400,14000,,northern Europe,223,
10576,,,,,,,,,,,,
10577,Tundra Swan,Cygnus columbianus,M,1447,7200,800, , ,W,eastern USA,694,
10578,,Cygnus columbianus,F,1290,6300,700, , ,,,,
10579,Tundra (Bewick's) Swan,Cygnus columbianus bewickii,M,96,6400,,4900,7800,W,Britain,515,
10580,,Cygnus columbianus bewickii,F,95,5700,,3400,7200,,,,
10581,Coscoroba Swan,Coscoroba coscoroba,M,3,4854,,3800,5400,,,"546, 1075",
10582,,Coscoroba coscoroba,F,3,3800,,3200,4500,,,,
10583,Swan Goose,Anser cygnoides,M,1,3575,,,,,"Mongolia, China","925, 926",
10584,,Anser cygnoides,F,1,3450,,,,,,,
10585,Bean Goose,Anser fabalis rossicus,M,126,2668,233,1970,3390,W,Netherlands,223,
10586,,Anser fabalis rossicus,F,117,2374,203,2000,2800,,,,
10587,Bean Goose,Anser fabalis fabalis,M,68,3198,302,2690,4060,W,Netherlands,223,
10588,,Anser fabalis fabalis,F,58,2843,274,2220,3490,,,,
10589,Pink-footed Goose,Anser brachyrhynchus,M,750,2770,310,1900,3350,F,Britain,223,
10590,,Anser brachyrhynchus,F,796,2520,270,1810,3150,,,,
10591,Greater White-fronted Goose,Anser albifrons frontalis,M,384,2075,215, , ,F,"California, USA",334,
10592,,Anser albifrons frontalis,F,407,2348,222, , ,,,,
10593,Greater White-fronted Goose,Anser albifrons gambeli,M,54,2700,220,,,W,"California, USA",334,
10594,,Anser albifrons gambeli,F,53,3000,220,,,,,,
10595,Lesser White-fronted Goose,Anser erythropus,M,2,1900, ,1800,2000,,Norway; Denmark; Wales UK,223,
10596,,Anser erythropus,F,2,1622,,1400,1843,,    ,,
10597,Greylag Goose,Anser anser,M,94,3509,321,2600,4560,W,"Scotland, UK",223,
10598,,Anser anser,F,75,3108,274,2160,3800,,,,
10599,Bar-headed Goose,Anser indicus,M,1,2460,, , ,,Mongolia,926,
10600,,Anser indicus,F,2,1990,,1860,2120,,,,
10601,Snow Goose,Chen caerulescens caerulescens,M,467,2744,235,,,F,"James Bay, Canada",214,
10602,,Chen caerulescens caerulescens,F,422,2517,217,,,,,,
10603,Snow Goose,Chen caerulescens atlanticus,M,92,2847,231,,,PB,"Bylot Island, Canada",822,
10604,,Chen caerulescens atlanticus,F,100,2456,149,,,,,,
10605,Ross' Goose,Chen rossii,M,25,1632,153,1350,1955,B,"NW Territories, Canada ",1035,
10606,,Chen rossii,F,20,1640,245,1155,2040,,,,
10607,Emperor Goose,Chen canagica,M,13,2370,178, , ,PB,"Alaska, USA ",921a,
10608,,Chen canagica,F,101,1926,130,,,,,,
10609,Brant,Branta bernicla nigricans,M,430,1370,350,1080,1790,PB,"Northwest Terr., Canada ",109,
10610,,Branta bernicla nigricans,F,361,1230,400,880,1590,,,,
10611,Brant,Branta bernicla hrota,M,27,1293,99,,,B,"Southhampton Is., Canada",959,
10612,,Branta bernicla hrota,F,41,1224,179,,,,,,
10613,Barnacle Goose,Branta leucopsis,M,366,1788,163,1350,2230,PB,Spitzbergen ,889a,
10614,,Branta leucopsis,F,253,1586,122,1210,1950,,,,
10615,Cackling Goose,Branta hutchinsii hutchinsii,M,129,2180,3,, ,,,823,
10616,,Branta hutchinsii hutchinsii,F,125,1920,20,, ,,,,
10617,Cackling Goose,Branta hutchinsii taverneri,M,60,2606,267,,,,,823,
10618,,Branta hutchinsii taverneri,F,61,2421,238,,,,,,
10619,Cackling Goose,Branta hutchinsii leucopareia,M,36,1946,137, , , , ,823,
10620,,Branta hutchinsii leucopareia,F,46,1704,157,,,,,,
10621,Cackling Goose,Branta hutchinsii minima,M,52,1480,29.8,1240,1700,,"California, USA",956,
10622,,Branta hutchinsii minima,F,58,1264,29.4,940,1490,,,,
10623,Canada Goose,Branta canadensis canadensis,M,232,3814,,,6265,,,844,
10624,,Branta canadensis canadensis,F,159,3314,,,5902,,,,
10625,Canada Goose,Branta canadensis occidentalis,M,130,3232,261,,,, ,823,
10626,,Branta canadensis occidentalis,F,131,2640,202,,,,,,
10627,Canada Goose,Branta canadensis parvipes,M,70,3266,320,, ,,,823,
10628,,Branta canadensis parvipes,F,59,2854,335,, ,,,,
10629,Canada Goose,Branta canadensis moffitti,M,26,4460,306,,,W,"Minnesota, USA",780,
10630,,Branta canadensis moffitti,F,31,3770,334,,,,,,
10631,Canada Goose,Branta canadensis interior,M,128,4181,,3799,4727,W,"Illinois, USA",955,
10632,,Branta canadensis interior,F,121,3514,,3062,3912,,,,
10633,Canada Goose,Branta canadensis maxima,M,6,4858,280,,,,,823,
10634,,Branta canadensis maxima,F,10,4825,425,,,,,,
10635,Hawaiian Goose (Nene),Branta sandvicensis,M,,2165, ,1695,3050, ,captive,39,
10636,,Branta sandvicensis,F, ,1930, ,1525,2560,,,,
10637,Barnacle Goose,Branta leucopsis,M,366,1788,163,1350,2230,PB,Spitzbergen ,889a,
10638,,Branta leucopsis,F,253,1586,122,1210,1950,,,,
10639,Red-breasted Goose,Branta ruficollis,M,5,1375,,1200,1625,W,,223,
10640,,Branta ruficollis,F,2,1094,,1058,1130,,,,
10641,Cape Barren Goose,Cereopsis novaehollandiae,M,14, ,,3700,5100,F,,"745, 1012",
10642,,Cereopsis novaehollandiae,F,,3560,,,,,,,
10643,Freckled Duck,Stictonetta naevosa,M,63,969,,747,1130,,,745,
10644,,Stictonetta naevosa,F,31,842,,691,985,,,,
10645,Blue-winged Goose,Cyanochen cyanoptera,F,,1520,,,,,,1012,
10646,,,,,,,,,,,,
10647,Andean Goose,Chloephaga melanoptera,U,4,2037,,2000,2100,,,362,
10648,,,,,,,,,,,,
10649,Upland Goose,Chloephaga picta,M,8,3105,,2752,3533,,Argentina,"210, 546, 978a",
10650,,Chloephaga picta,F,5,2672,,2404,2823,,,,
10651,Kelp Goose,Chloephaga hybrida,M,2,2575,,2540,2611,,Argentina ,"546, 978a",
10652,,Chloephaga hybrida,F,2,2022,,2000,2043,,,,
10653,Ashy-headed Goose,Chloephaga poliocephala,M,3,2289,,2270,2327,,Tierra del Fuego,"546, 978a",
10654,,Chloephaga poliocephala,F,1,1760,,,,,,,
10655,Ruddy-headed Goose,Chloephaga rubidiceps,U,2,2086,,2043,2128,,Tierra del Fuego,546,
10656,,,,,,,,,,,,
10657,Orinoco Goose,Neochen jubata,F,,1250,,,,,,1012,
10658,,,,,,,,,,,,
10659,Egyptian Goose,Alopochen aegyptiana,M,53,1873,,1520,2100,,,"223, 1036",
10660,,Alopochen aegyptiana,F,,,,1500,1800,,,,
10661,Ruddy Shelduck,Tadorna ferruginea,M,10,1368,,1156,1640, ,China,184a,
10662,,Tadorna ferruginea,F,8,1115,,919,1315,,,,
10663,South African Shelduck,Tadorna cana,B,8,1182,,1012,1295,,South Africa,508,
10664,,,,,,,,,,,,
10665,Australian Shelduck,Tadorna tadornoides,M,67,1559,,990,1980,,,745,
10666,,Tadorna tadornoides,F,185,1291,,878,1850,,,,
10667,Paradise Shelduck,Tadorna variegata,M,23,1712,145,1422,2000,,,745,
10668,,Tadorna variegata,F,10,1387,178,1059,1799,,,,
10669,Common Shelduck,Tadorna tadorna,M,11,1261,110,1100,1450,S,"Netherlands, Denmark,",223,
10670,,Tadorna tadorna,F,5,1043,,926,1250,,   Kazakhstan,,
10671,Radjah Shelduck,Tadorna radjah,M,46,934,,750,1101,,,745,
10672,,Tadorna radjah,F,49,839,,600,1130,,,,
10673,Flightless Steamerduck,Tachyeres pteneres,M,3,5344,,4625,6186,,Tierra del Fuego,546,
10674,,Tachyeres pteneres,F,1,4200,,,,,,,
10675,White-headed Steamerduck,Tachyeres leucocephalus,F,,3013,,,,,,1012,
10676,,,,,,,,,,,,
10677,Falkland Steamerduck,Tachyeres brachypterus,F,,3450,,,,,,1012,
10678,,,,,,,,,,,,
10679,Flying Steamerduck,Tachyeres patachonicus,M,7,3062,,2892,3178,,Tierra del Fuego,546,
10680,,Tachyeres patachonicus,F,8,2600,,2438,2835,,,,
10681,Spur-winged Goose,Plectropterus gambensis,U,11,3869,,2400,5400,,South Africa,1036,
10682,,,,,,,,,,,,
10683,Muscovy Duck,Cairina moschata,M,4,2858,,,,, ,489,
10684,,Cairina moschata,F,4,2042,,,,,,,
10685,White-winged Duck,Cairina scutulata,M,,,,2945,3855,,,7,
10686,,Cairina scutulata,F,,,,2150,3050,,,,
10687,Comb Duck,Sarkidiornis melanotos,M,1,2610,,,,,,7,
10688,,Sarkidiornis melanotos,F,,,,1925,2325,,,,
10689,Hartlaub's Duck,Pteronetta hartlaubii,F,,790,,,,,,1012,
10690,,,,,,,,,,,,
10691,Green Pygmy-goose,Nettapus pulchellus,M,47,310,,300,430,, ,745,
10692,,Nettapus pulchellus,F,26,304,,245,340,,,,
10693,Cotton Pygmy-goose,Nettapus coromandelianus,M,52,403,,311,495,,,745,
10694,,Nettapus coromandelianus,F,37,380,,255,439,,,,
10695,African Pygmy-goose,Nettapus auritus,U,7,266,,220,325,,,"133, 266",
10696,,,,,,,,,,,,
10697,Ringed Teal,Callonetta leucophrys,M,2,410,,370,450,, ,"63, 212a",
10698,,Callonetta leucophrys,F,3,321,,285,340,,,,
10699,Wood Duck,Aix sponsa,M,248,681,,,907,F,,894,
10700,,Aix sponsa,F,163,635,,,907,,,,
10701,Mandarin Duck,Aix galericulata,M,,628,,571,693,,,273,
10702,,Aix galericulata,F,,512,,428,608,,,,
10703,Maned Duck,Chenonetta jubata,M,45,815,,700,955,,,745,
10704,,Chenonetta jubata,F,26,800,,662,984,,,,
10705,Brazilian Teal,Amazonetta brasiliensis,U,,500,,,,,Brazil,1105,
10706,,,,,,,,,,,,
10707,Blue Duck,Hymenolaimus malacorhynchos,M,11,897,48.6,820,970,,New Zealand,745,
10708,,Hymenolaimus malacorhynchos,F,14,768,59.4,680,870,,,,
10709,Torrent Duck,Merganetta armata,M,1,482,,,,,,"546, 1012",
10710,,Merganetta armata,F,,330,,,,,,,
10711,Salvadori's Teal,Salvadorina waigiuensis,M,1,324,,,,,New Guinea,770,
10712,,,,,,,,,,,,
10713,African Black Duck,Anas sparsa,M,18,1027,,950,1156,,South Africa,1036,
10714,,Anas sparsa,F,10,938,,820,1055,,,,
10715,Eurasian Wigeon,Anas penelope,M,42,819,,610,1073,,Denmark,894,
10716,,Anas penelope,F,24,724,,552,962,,,,
10717,American Wigeon,Anas americana,M,65,792,79.1,635,1036,Y,western Canada,1326,
10718,,Anas americana,F,68,719,80.6,512,872,,,,
10719,Chiloe Wigeon,Anas sibilatrix,M,2,1072,,1036,1107,,Tierra del Fuego,546,
10720,,Anas sibilatrix,F,3,795,,624,965,,,,
10721,Falcated Duck,Anas falcata,M,4,713,,590,770,,"Hopei, China",1087,
10722,,Anas falcata,F,5,585,,422,700,,,,
10723,Gadwall,Anas strepera,M,68,968,9.8,790,1250,W,"Alabama, USA",691,
10724,,Anas strepera,F,27,866,14.4,720,980,,,,
10725,Baikal Teal,Anas formosa,M,12,437,,360,520,,"Hopei, China",1087,
10726,,Anas formosa,F,8,431,,402,505,,,,
10727,Green-winged Teal,Anas crecca carolinensis,M,194,364,,,454,F,,894,
10728,,Anas crecca carolinensis,F,81,318,,,409,,,,
10729,Green-winged Teal ,Anas crecca crecca,M,999,320,,,,W,England,622a,
10730,,Anas crecca crecca,F,498,291,,,,,,,
10731,Green-winged Teal ,Anas crecca nimia,M,15,392,,310,440,B,"Amichitka, Aleutian Is.",622a,
10732,,Anas crecca nimia,F,4,378,,338,418,,,,
10733,Speckled Teal,Anas flavirostris,U,9,434,,395,478,,Argentina,210,
10734,,,,,,,,,,,,
10735,Cape Teal,Anas capensis,U,63,402,,342,590,,South Africa,223,
10736,,,,,,,,,,,,
10737,Bernier's Teal ,Anas bernieri,M,7,382,,320,405,,Madagascar,1358,
10738,,Anas bernieri,F,2,375,,365,385,,,,
10739,Sunda Teal,Anas gibberifrons,M,218,508,38,,,,,701,
10740,,Anas gibberifrons,F,153,469,36,,,,,,
10741,Andaman Teal,Anas albogularis,M,,400,,,,,,622a,
10742,,Anas albogularis,F,,340,,,,,,,
10743,Gray Teal ,Anas gracilis,M,10,525,17.4,500,547,,New Zealand,1358,
10744,,Anas gracilis,F,7,420,,376,499,,,,
10745,Gray Teal,Anas gracilis,M,210,507,,395,670,,Australia,745,
10746,,Anas gracilis,F,138,474,,350,602,,,,
10747,Chestnut Teal,Anas castanea,M,89,660,65,,,,,701,
10748,,Anas castanea,F,58,590,138,,,,,,
10749,Auckland Islands Teal,Anas aucklandica,M,10,521,49,,,,Auckland Is. ,701,
10750,,Anas aucklandica,F,6,410,,,,,,,
10751,Campbell Islands Teal,Anas nesiotis,M,1,426,,,,,Campbell Is.,701,
10752,,,,,,,,,,,,
10753,Brown Teal,Anas chlorotis,B,42,582,,,,,New Zealand,701,
10754,,,,,,,,,,,,
10755,Mallard ,Anas platyrhynchos,U,5847,1082,129,720,1580,Y,"Britain, UK",889,
10756,,,,,,,,,,,,
10757,Mallard ,Anas platyrhynchos,M,1308,1246,108,,,W,"Mississippi, USA",305,
10758,,Anas platyrhynchos,F,453,1095,106,,,,,,
10759,Mallard (Mexican Duck),Anas platyrhynchos diazi,M,,,,960,1060,,,894,
10760,,Anas platyrhynchos diazi,F,,,,815,990,,,,
10761,Laysan Duck,Anas laysanensis,M,64,456,35.3,348,548,,Laysan Is.,819,
10762,,Anas laysanensis,F,48,463,37,365,525,,,,
10763,Hawaiian Duck,Anas wyvilliana,M,28,644,,,,,Hawaiian Islands,1286,
10764,,Anas wyvilliana,F,19,585,,,,,,,
10765,Mottled Duck,Anas fulvigula,M,86,1043,86.2,876,1241,,"Florida, USA",807,
10766,,Anas fulvigula,F,71,934,89.3,699,1151,,,,
10767,American Black Duck,Anas rubripes,M,376,1400,,900,1800,F,"Massachusetts, USA",894,
10768,,Anas rubripes,F,176,1100,,900,1500,,,,
10769,Yellow-billed Duck,Anas undulata,U,42,1008,121,660,1220,,South Africa,508,
10770,,,,,,,,,,,,
10771,Meller's Duck,Anas melleri,M,19,1010,99.8,883,1240,,captive,1357,
10772,,Anas melleri,F,21,911,66.6,832,1140,,,,
10773,Spot-billed Duck,Anas poecilorhyncha,M,13,1156,,1000,1340,,"Hopei, China",1087,
10774,,Anas poecilorhyncha,F,2,865,,750,980,,,,
10775,Pacific Black Duck,Anas superciliosa ,M,112,1089,105,765,1276,,New Zealand,745,
10776,,Anas superciliosa ,F,120,981,108,624,1276,,,,
10777,Pacific Black Duck,Anas superciliosa,M,100,1133,110,800,1400,,Australia,745,
10778,,Anas superciliosa,F,100,1015,180,600,1400,,,,
10779,Pacific Black Duck,Anas superciliosa pelewensis,M,1,642,,,,,Solomon Islands,658,
