sortID,common,spp,sex,N,meanMass,sDev,minMass,maxMass,season,location,citationNumber, 
304,Puna Thistletail,Schizoeaca helleri,B,6,15.3,,13,17.3,,Peru ,1143,
305,,,,,,,,,,,,
306,Black-throated Thistletail,Schizoeaca harterti,M,11,13.2,,,,,Bolivia,963,
307,,Schizoeaca harterti,F,21,12.7,,,,,,,
308,Itatiaia Thistletail,Oreophylax moreirae,U,,,,10,11,,,274,
309,,,,,,,,,,,,
310,Creamy-breasted Canastero,Asthenes dorbignyi,B,11,15.9,1.2,14.5,19,,Bolivia,1143,
311,,,,,,,,,,,,
312,Steinbach's Canastero,Asthenes steinbachi,M,1,19.5,,,,,Argentina,1041,
313,,,,,,,,,,,,
314,Lesser Canastero,Asthenes pyrrholeuca,B,10,13.2,,11.6,14.2,,Argentina,"210, 1040, 1041",
315,,,,,,,,,,,,
316,Short-billed Canastero,Asthenes baeri,B,11,17.8,,15,21,,,"63, 841",
317,,,,,,,,,,,,
318,Patagonian Canastero,Asthenes patagonica,B,4,16.4,,15.5,17.1,,Argentina,841,
319,,,,,,,,,,,,
320,Dusky-tailed Canastero,Asthenes humicola ,B,57,22.5,1.4,18.5,25,,Chile,328,
321,,,,,,,,,,,,
322,Dusky-tailed Canastero,Asthenes humicola goodalli,B,4,19.3,,18,20,,Chile,748,
323,,,,,,,,,,,,
324,Canyon Canastero,Asthenes pudibunda,U,,,,13,17,,,274,
325,,,,,,,,,,,,
326,Rusty-fronted Canastero,Asthenes ottonis ,U,,13,,,,,,274,
327,,,,,,,,,,,,
328,Iquico Canastero,Asthenes heterura,U,,,,13,14,,,274,
329,,,,,,,,,,,,
330,Cordilleran Canastero,Asthenes modesta,U,7,16.8,,13,21.5,,Argentina,"362, 1040, 1041",
331,,,,,,,,,,,,
332,Cactus Canastero,Asthenes cactorum,U,,,,16,19,,,274,
333,,,,,,,,,,,,
334,Cipo Canastero,Asthenes luizae,U,2,28,,25.5,30.5,,Brazil,"265, 1256",
335,,,,,,,,,,,,
336,Streak-throated Canastero,Asthenes humilis,B,8,21,,19.7,22.5,,,1043,
337,,,,,,,,,,,,
338,Streak-backed Canastero,Asthenes wyatti,F,1,15.2,,,,,Ecuador,1143,
339,,,,,,,,,,,,
340,Puna Canastero,Asthenes sclateri,U,2,25.9,,25.8,26,,Argentina,1041,
341,,,,,,,,,,,,
342,Austral Canastero,Asthenes anthoides,U,5,22.3,,21.3,24.5,,Argentina,"546, 1262", 
343,,,,,,,,,,, ,
344,Scribble-tailed Canastero,Asthenes maculicauda,U,,19,,,,,,274,
345,,,,,,,,,,,,
346,Junin Canastero,Asthenes virgata,U,,22,,,,,,274,
347,,,,,,,,,,,,
348,Line-fronted Canastero,Asthenes urubambensis,F,1,16,,,,,Bolivia,963,
349,,,,,,,,,,,,
350,Many-striped Canastero,Asthenes flammulata,B,19,22.5,,17,27,,Peru,900,
351,,,,,,,,,,,,
352,Plain Softtail,Phacellodomus fusciceps,U,3,25.2,,24,25.9,,Brazil,890,
353,,,,,,,,,,,,
354,Russet-mantled Softtail,Phacellodomus berlepschi,U,,23,,,,,,274,
355,,,,,,,,,,,,
356,Common Thornbill,Phacellodomus rufifrons,B,36,24.6,,21.5,27.8,,Venezuela,1215,
357,,,,,,,,,,,,
358,Little Thornbill,Phacellodomus sibilatrix,B,8,15.5,,14,16,,Bolivia; Brazil,"657, 890, 1175",
359,,,,,,,,,,,,
360,Streak-fronted Thornbill,Phacellodomus striaticeps,B,3,29.1,,23.3,40,, ,"362, 1055", 
361,,,,,,,,,,,,
362,Greater Thornbill,Phacellodomus ruber,B,10,41,,35.8,51,,Brazil; Argentina,"63, 210a, 752",
363,,,,,,,,,,,,
364,Freckle-breasted Thornbill,Phacellodomus striaticollis,B,3,25.7,,24.5,26.5,,Brazil,63,
365,,,,,,,,,,,,
366,Spot-breasted Thornbill,Phacellodomus maculipectus,U,10,21.9,1.6,19.5,25.5,,Argentina,1040,
367,,,,,,,,,,,,
368,Chestnut-backed Thornbill,Phacellodomus dorsalis,U,,,,33,39,,,274,
369,,,,,,,,,,,,
370,Red-eyed Thornbill,Phacellodomus erythrophthalmus,M,2,24.5,,24,25,,Brazil,63,
371,,,,,,,,,,,,
372,Canebrake Groundcreeper,Clibanornis dendrocolaptoides,U,3,48.2,,42,52.5,,Brazil; Paraguay,"63, 132, 961", 
373,,,,,,,,,,,,
374,Firewood-gatherer,Anumbius annumbi,U,2,41.5,,38,45,,Brazil,63,
375,,,,,,,,,,,,
376,Lark-like Brushrunner,Coryphistera alaudina,B,16,30,,27,32,,Bolivia,657,
377,,,,,,,,,,,,
378,Gray-crested Cacholote,Pseudoseisura unirufa,B,3,44.9,,43,47.8,,Bolivia,1143,
379,,,,,,,,,,,,
380,Brown Cacholote,Pseudoseisura lophotes,M,5,76,,71,83,,Bolivia,657,
381,,Pseudoseisura lophotes,F,6,68.6,,63,77,,,,
382,White-throated Cacholote,Pseudoseisura gutturalis,B,4,70.4,,63.3,78.2,,Argentina ,"841, 1041",
383,,, , , ,,,,,,,
384,Orange-fronted Plushcrown,Metopothrix aurantiacus,U,3,11.2,,11,11.5,,Peru; Brazil,"370, 890",
385,,,,,,,,,,,,
386,Equatorial Graytail,Xenerpestes singularis,U,4,11.6,,11,12,,Brazil,890,
387,,,,,,,,,,,,
388,Double-banded Graytail,Xenerpestes minlosi,F,1,11,,,,,Ecuador,1147,
389,,,,,,,,,,,,
390,Spectacled Prickletail,Siptornis striaticollis,F,1,13,,,,,Ecuador,1147,
391,,,,,,,,,,,,
392,Rusty-winged Barbtail,Premnornis guttuligera,U,15,15.9,1.1,,,,Peru,1288,
393,,,,,,,,,,,,
394,Spotted Barbtail,Premnoplex brunnescens,U,18,16.3,1,,,,Peru,1288,
395,,,,,,,,,,,,
396,Roraiman Barbtail,Roraimia adusta mayri,M,6,15.8,,12,18,,Venezuela,296,
397,,Roraimia adusta mayri,F,6,16.7,,12,20,,,,
398,Ruddy Treerunner,Margarornis rubiginosus,U,2,17.8,,16.1,19.5,,Panama,489,
399,,,,,,,,,,,,
400,Fulvous-dotted Treerunner,Margarornis stellatus,U,,,,21,22,,,274,
401,,,,,,,,,,,,
402,Beautiful Treerunner,Margarornis bellulus,M,1,18.5,,,,,Panama,990,
403,,,,,,,,,,,,
404,Pearled Treerunner,Margarornis squamiger,U,17,17.3,1.4,,,,Peru,1288,
405,,,,,,,,,,,,
406,White-throated Treerunner,Pygarrhichas albogularis,U,13,24,2.1,19.5,27,,Argentina,210,
407,,,,,,,,,,,,
408,Great Xenops,Megaxenops parnaguae,M,1,25,,,,,northeast Brazil,1205,
409,,,,,,,,,,,,
410,Rufous-tailed Xenops,Xenops milleri,B,7,12.2,,,,,Brazil; Peru; Suriname,"73, 498, 988, 1178", 
411,,,,,,,,,,,,
